@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lpx numeric
@attribute lpy numeric
@attribute lpz numeric
@attribute lrx numeric
@attribute lry numeric
@attribute lrz numeric
@attribute lrw numeric
@attribute rpx numeric
@attribute rpy numeric
@attribute rpz numeric
@attribute rrx numeric
@attribute rry numeric
@attribute rrz numeric
@attribute rrw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 {0,1,2,3,4,5}

@data
27,'2020/05/05 21:00:38:773',2,-0.405509,0.649267,-0.284058,0.318902,0.290073,-0.373038,-0.821585,0.057358,1.152457,-0.507042,0.801563,0.119123,0.205478,-0.548713,?,?,?,?,?,1
28,'2020/05/05 21:00:38:783',2,-0.405509,0.649267,-0.284058,0.318903,0.290073,-0.373038,-0.821585,0.055895,1.153487,-0.50174,0.791339,0.103109,0.187887,-0.572582,?,?,?,?,?,1
29,'2020/05/05 21:00:38:799',2,-0.405509,0.649267,-0.284057,0.318903,0.290073,-0.373038,-0.821585,0.054481,1.154398,-0.495967,0.780238,0.082867,0.165069,-0.59759,?,?,?,?,?,1
30,'2020/05/05 21:00:38:811',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373038,-0.821585,0.053207,1.155058,-0.490412,0.768996,0.062815,0.141115,-0.620311,?,?,?,?,?,1
31,'2020/05/05 21:00:38:827',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373038,-0.821585,0.052311,1.155469,-0.48483,0.75692,0.04205,0.116961,-0.64158,?,?,?,?,?,1
32,'2020/05/05 21:00:38:839',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373038,-0.821585,0.051414,1.155621,-0.479084,0.74299,0.02638,0.097562,-0.661627,?,?,?,?,?,1
33,'2020/05/05 21:00:38:856',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373038,-0.821585,0.051123,1.155433,-0.473125,0.727572,0.009981,0.080017,-0.681276,?,?,?,?,?,1
34,'2020/05/05 21:00:38:867',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373038,-0.821585,0.050913,1.154965,-0.467139,0.711191,-0.005057,0.062828,-0.700168,?,?,?,?,?,1
35,'2020/05/05 21:00:38:883',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373039,-0.821585,0.05136,1.154287,-0.461666,0.695657,-0.018955,0.05087,-0.71632,?,?,?,?,?,1
36,'2020/05/05 21:00:38:895',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373039,-0.821585,0.052621,1.153478,-0.456883,0.681697,-0.032611,0.044699,-0.729539,?,?,?,?,?,1
37,'2020/05/05 21:00:38:915',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373039,-0.821585,0.054309,1.152434,-0.452257,0.66748,-0.044761,0.043593,-0.742001,?,?,?,?,?,1
38,'2020/05/05 21:00:38:928',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373039,-0.821585,0.056075,1.150898,-0.447233,0.650452,-0.055257,0.044672,-0.756216,?,?,?,?,?,1
39,'2020/05/05 21:00:38:945',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.373039,-0.821584,0.058204,1.148473,-0.440538,0.627018,-0.062419,0.056,-0.774478,?,?,?,?,?,1
40,'2020/05/05 21:00:38:953',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.373039,-0.821584,0.060228,1.145141,-0.433271,0.599099,-0.068782,0.06808,-0.794805,?,?,?,?,?,1
41,'2020/05/05 21:00:38:969',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.373039,-0.821584,0.062048,1.141001,-0.425728,0.567947,-0.073901,0.081853,-0.815644,?,?,?,?,?,1
42,'2020/05/05 21:00:38:978',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.373039,-0.821584,0.06395,1.136432,-0.418687,0.536465,-0.081571,0.091402,-0.834984,?,?,?,?,?,1
43,'2020/05/05 21:00:38:994',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.373039,-0.821584,0.06639,1.132082,-0.412986,0.508668,-0.094739,0.092532,-0.850717,?,?,?,?,?,1
44,'2020/05/05 21:00:39:006',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.373039,-0.821584,0.069009,1.128105,-0.408392,0.483948,-0.111958,0.081567,-0.864064,?,?,?,?,?,1
45,'2020/05/05 21:00:39:024',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.37304,-0.821584,0.071657,1.124085,-0.404236,0.458461,-0.132483,0.056091,-0.876992,?,?,?,?,?,1
46,'2020/05/05 21:00:39:039',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.37304,-0.821584,0.074472,1.119528,-0.400118,0.428629,-0.155831,0.016773,-0.889783,?,?,?,?,?,1
